PartName,	BatchID,	OperatorName,	Date,	Time,	L,	H,	W,	W1,	C1,	C2,	I1,	I2,	W3,	Result
,	,	,	,	,	2.1500-2.350,	1.4000-1.800,	2.9000-3.100,	4.6000-5.000,	2.5000-2.900,	2.6000-3.200,	4.6000-5.000,	3.8000-4.400,	2.6000-3.000,	
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.581,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.547,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,3.014,4.798,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.547,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.581,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.547,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,3.014,4.798,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.547,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.546,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:24,Disabled,1.545,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.581,3.014,4.798,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.547,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.547,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,3.014,4.798,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.581,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.547,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.547,3.014,4.798,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.581,2.996,4.776,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.547,3.021,4.821,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.545,3.000,4.795,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
TT-1478,Batch_2_TVAS_STM_1_TT-1478_3630567276,13132,17-Jan-2019,16:25,Disabled,1.546,2.987,4.777,Disabled,Disabled,Disabled,Disabled,Disabled,Pass
