PartName,	BatchID,	OperatorName,	Date,	Time,	L,	H,	W,	W1,	C1,	C2,	I1,	I2,	W3,	Result
,	,	,	,	,	2.1500-2.350,	1.9000-2.100,	2.1500-2.350,	2.9000-3.100,	2.5000-2.900,	2.6000-3.200,	4.6000-5.000,	3.8000-4.400,	2.6000-3.000,	
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.990,1.547,3.024,4.821,0.920,1.266,1.999,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.959,1.547,2.995,4.795,0.920,2.355,1.988,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,0.443,1.546,1.898,1.036,0.920,1.538,1.961,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.936,1.547,2.987,4.777,0.920,1.556,1.983,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.936,1.546,2.998,4.776,0.920,2.275,1.987,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.962,1.582,3.016,4.798,0.920,1.569,1.982,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.959,1.547,2.995,4.795,0.920,2.355,1.988,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,0.443,1.546,1.898,1.036,0.920,1.538,1.961,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.936,1.547,2.987,4.777,0.920,1.556,1.983,2.723,1.555,Fail
TT-1478,Batch_1_TVAS_STM_1_TT-1478_3630657120,cv,18-Jan-2019,17:22,4.990,1.547,3.024,4.821,0.920,1.266,1.999,2.723,1.555,Fail
